conductor,insulation,method,cores,size_mm2,amps,source
Al,PVC,A1,2,2.5,15,"IEC 60364-5-52:2009 Table B.52.2, method A1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,A2,2,2.5,14.5,"IEC 60364-5-52:2009 Table B.52.2, method A2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,B1,2,2.5,18.5,"IEC 60364-5-52:2009 Table B.52.2, method B1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,B2,2,2.5,17.5,"IEC 60364-5-52:2009 Table B.52.2, method B2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,C,2,2.5,21,"IEC 60364-5-52:2009 Table B.52.2, method C, values as reproduced in IS 732:2019 Table 21"
Al,PVC,D1,2,2.5,22,"IEC 60364-5-52:2009 Table B.52.2, method D1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,A1,2,4,20,"IEC 60364-5-52:2009 Table B.52.2, method A1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,A2,2,4,19.5,"IEC 60364-5-52:2009 Table B.52.2, method A2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,B1,2,4,25,"IEC 60364-5-52:2009 Table B.52.2, method B1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,B2,2,4,24,"IEC 60364-5-52:2009 Table B.52.2, method B2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,C,2,4,28,"IEC 60364-5-52:2009 Table B.52.2, method C, values as reproduced in IS 732:2019 Table 21"
Al,PVC,D1,2,4,29,"IEC 60364-5-52:2009 Table B.52.2, method D1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,A1,2,6,26,"IEC 60364-5-52:2009 Table B.52.2, method A1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,A2,2,6,25,"IEC 60364-5-52:2009 Table B.52.2, method A2, values as reproduced in IS 732:2019 Table 21"
Al,PVC,B1,2,6,32,"IEC 60364-5-52:2009 Table B.52.2, method B1, values as reproduced in IS 732:2019 Table 21"
Al,PVC,B2,2,6,30,"IEC 60364-5-52:2009 Table B.52.2, method B2, values as reproduced in IS 732:2019 Table 21"
